time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-07-17T02:37:43.180Z,-15.657,-71.74,7,6,mww,506,37,,1.19,us,usb000ifva,2022-08-06T16:47:44.886Z,"3 km ESE of Maca, Peru",earthquake,,,,,reviewed,us,us
2013-07-16T09:27:40.450Z,-15.847,-72.253,39.4,4.9,mb,127,131,,1.46,us,usb000if2u,2022-05-03T16:23:20.941Z,"18 km S of Ayo, Peru",earthquake,,7.1,,116,reviewed,us,us
2013-06-16T16:26:13.190Z,-15.721,-71.871,9.9,4.9,mb,46,90,,0.78,us,usc000hs8b,2014-11-07T01:51:05.146Z,"14 km SW of Maca, Peru",earthquake,,1.7,,28,reviewed,us,us
2013-05-11T19:38:27.550Z,-15.799,-71.565,158.3,4.3,mb,16,129,,0.84,us,usc000guc6,2014-11-07T01:50:47.288Z,"11 km WSW of Huarancante, Peru",earthquake,,21.5,,5,reviewed,us,us
2013-05-11T02:19:12.080Z,-15.873,-72.165,84.6,4.7,mb,53,96,,0.9,us,usc000gtvt,2014-11-07T01:50:46.949Z,"16 km SSW of Huambo, Peru",earthquake,,6.6,,17,reviewed,us,us
2013-04-02T00:43:52.710Z,-16.005,-71.971,150.4,4.2,mb,12,139.5,,0.61,us,us2013nmae,2014-11-07T01:50:28.516Z,"4 km ENE of Lluta, Peru",earthquake,,13.5,,3,reviewed,us,us
2013-03-23T22:37:35.770Z,-15.894,-71.845,25.5,4.7,mb,65,91.3,,1.05,us,usb000frs6,2014-11-07T01:50:22.633Z,"22 km NE of Lluta, Peru",earthquake,,14.2,,30,reviewed,us,us
2013-03-14T15:50:51.650Z,-15.924,-71.662,43,4.6,mb,38,117.1,,1.38,us,usb000fkvu,2014-11-07T01:50:20.384Z,"22 km WNW of Pucara, Peru",earthquake,,10.3,,16,reviewed,us,us
2013-02-25T17:54:22.280Z,-15.699,-72.289,116.1,4.5,mb,43,95.9,,1.24,us,usb000fii6,2014-11-07T01:50:11.872Z,"southern Peru",earthquake,,,,8,reviewed,us,us
2013-02-23T20:08:24.400Z,-16.006,-71.671,60.6,4.4,mb,32,91.4,,0.81,us,us2013lzbj,2014-11-07T01:50:11.237Z,"22 km W of Pucara, Peru",earthquake,,6.5,,7,reviewed,us,us
2013-02-22T21:50:49.560Z,-15.826,-71.495,18.4,5.2,mb,220,78.3,,1.4,us,usc000fbyh,2022-05-03T16:07:30.433Z,"7 km SSW of Huarancante, Peru",earthquake,,16.6,,157,reviewed,us,us
2013-02-22T21:01:47.230Z,-15.748,-71.425,7.9,5.3,mb,135,88.3,,1.25,us,usc000fbvq,2022-05-03T16:07:25.102Z,"4 km ENE of Huarancante, Peru",earthquake,,14.1,,75,reviewed,us,us
2013-02-18T16:19:49.590Z,-15.717,-72.098,125.9,4.6,mb,37,91.1,,1.35,us,us2013lua7,2014-11-07T01:50:09.562Z,"1 km NE of Huambo, Peru",earthquake,,6.5,,9,reviewed,us,us
2013-01-29T03:31:22.630Z,-15.403,-71.98,116.3,4.2,mb,19,125.2,,1.19,us,usc000ex8v,2014-11-07T01:49:54.293Z,"19 km NNW of Tapay, Peru",earthquake,,10.2,,11,reviewed,us,us
2013-01-16T01:29:22.110Z,-15.864,-71.815,35,4.6,mb,17,153.4,,1.21,us,usp000jyff,2014-11-07T01:49:50.685Z,"25 km SSW of Maca, Peru",earthquake,,,,2,reviewed,us,us
2012-11-04T06:37:38.260Z,-15.874,-71.878,137.7,5.4,mb,499,36.7,,0.86,us,usp000jv0g,2022-05-03T15:55:06.049Z,"21 km NE of Lluta, Peru",earthquake,,,,297,reviewed,us,us
2012-11-03T13:56:19.850Z,-15.507,-71.576,113.8,4.9,mb,51,87,,0.87,us,usp000juza,2015-03-24T01:33:49.954Z,"4 km NW of Tuti, Peru",earthquake,,6.1,,16,reviewed,us,us
2011-11-06T15:21:51.530Z,-15.611,-71.576,141.5,4.4,mb,24,90.8,,0.95,us,usp000jafc,2014-11-07T01:46:18.630Z,"southern Peru",earthquake,,7.5,,4,reviewed,us,us
2011-11-06T15:21:23.480Z,-15.945,-71.785,125.7,4.1,mb,20,128,,1.52,us,usp000jafb,2014-11-07T01:46:18.627Z,"25 km ENE of Lluta, Peru",earthquake,,10.5,,5,reviewed,us,us
2011-09-25T00:13:04.430Z,-16.183,-71.958,121.7,4.2,mb,8,218.6,,0.7,us,usp000j8h2,2014-11-07T01:45:56.987Z,"19 km SSE of Lluta, Peru",earthquake,,11.5,,3,reviewed,us,us
2011-08-31T16:33:53.130Z,-15.835,-71.744,122.4,4.5,mb,16,93.9,,1.12,us,usp000j7b1,2014-11-07T01:45:45.247Z,"21 km SSW of Ichupampa, Peru",earthquake,,9.1,,2,reviewed,us,us
2011-08-12T09:12:00.070Z,-15.789,-71.936,10,4.7,mb,56,130.3,,1.47,us,usp000j6c0,2015-03-24T02:26:26.803Z,"19 km ESE of Huambo, Peru",earthquake,,,,34,reviewed,us,us
2011-07-13T08:23:27.130Z,-15.607,-71.651,112,4.5,mb,76,88.2,,0.8,us,usp000j4t6,2015-03-24T01:19:04.935Z,"6 km NE of Ichupampa, Peru",earthquake,,4.9,,34,reviewed,us,us
2010-02-04T01:24:30.490Z,-15.863,-72.143,99.8,4.5,mb,40,92.5,,0.83,us,usp000h6xp,2014-11-07T01:40:39.524Z,"15 km SSW of Huambo, Peru",earthquake,,5.1,,12,reviewed,us,us
